2021-03-23 15:26:28,720 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lt.activit.activiti.service.TestServiceTest], using SpringBootContextLoader
2021-03-23 15:58:39,470 [SpringContextShutdownHook] INFO  o.s.c.n.eureka.InstanceInfoFactory 72 - Setting initial instance status as: STARTING
2021-03-23 15:58:39,476 [SpringContextShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry 65 - Unregistering application CONN-ACTI with eureka with status DOWN
2021-03-23 15:58:39,489 [SpringContextShutdownHook] INFO  o.a.e.i.a.DefaultAsyncJobExecutor 208 - Shutting down the default async job executor [org.activiti.spring.SpringAsyncExecutor].
2021-03-23 15:58:39,489 [activiti-acquire-timer-jobs] INFO  o.a.e.i.a.AcquireTimerJobsRunnable 115 - {} stopped async job due acquisition
2021-03-23 15:58:39,489 [activiti-acquire-async-jobs] INFO  o.a.e.i.a.AcquireAsyncJobsDueRunnable 115 - {} stopped async job due acquisition
2021-03-23 15:58:39,490 [activiti-reset-expired-jobs] INFO  o.a.e.i.a.ResetExpiredJobsRunnable 99 - {} stopped resetting expired jobs
2021-03-23 15:58:39,492 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-03-23 15:58:39,495 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean 598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-03-23 15:58:39,506 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource 1863 - {dataSource-1} closed
2021-03-23 16:02:09,000 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lt.activit.activiti.service.impl.ActiDemoServiceImplTest], using SpringBootContextLoader
2021-03-23 16:02:09,022 [main] INFO  o.s.t.c.s.AbstractContextLoader 264 - Could not detect default resource locations for test class [com.lt.activit.activiti.service.impl.ActiDemoServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-03-23 16:02:09,040 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils 83 - Could not detect default configuration classes for test class [com.lt.activit.activiti.service.impl.ActiDemoServiceImplTest]: ActiDemoServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-03-23 16:02:09,382 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 235 - Found @SpringBootConfiguration com.lt.activit.activiti.ActivitiApplication for test class com.lt.activit.activiti.service.impl.ActiDemoServiceImplTest
2021-03-23 16:02:09,776 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-03-23 16:02:09,865 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@18f0a79, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1e693fa, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@793bef, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1286fb6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@b77ea8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@18b43c7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@aca91a, org.springframework.test.context.event.EventPublishingTestExecutionListener@c73c26, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1005828, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@b4beb4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1cf2fc1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@141a12, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@196c360]
2021-03-23 16:02:18,650 [main] INFO  c.l.a.a.s.i.ActiDemoServiceImplTest 655 - The following profiles are active: dev
2021-03-23 16:02:20,788 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-03-23 16:02:20,902 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 36ms. Found 0 JPA repository interfaces.
2021-03-23 16:02:21,563 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 44 - No MyBatis mapper was found in '[com.lt.activit.activiti.dao]' package. Please check your configuration.
2021-03-23 16:02:21,770 [main] INFO  o.s.cloud.context.scope.GenericScope 295 - BeanFactory id=ed86bae3-5091-3740-9da3-93e5769814f8
2021-03-23 16:02:22,791 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure 56 - Init DruidDataSource
2021-03-23 16:02:26,657 [main] INFO  c.alibaba.druid.pool.DruidDataSource 947 - {dataSource-1} inited
2021-03-23 16:02:26,933 [main] INFO  o.h.jpa.internal.util.LogHelper 31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-03-23 16:02:27,130 [main] INFO  org.hibernate.Version 44 - HHH000412: Hibernate ORM core version 5.4.12.Final
2021-03-23 16:02:27,522 [main] INFO  o.h.annotations.common.Version 49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-03-23 16:02:27,843 [main] INFO  org.hibernate.dialect.Dialect 172 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2021-03-23 16:02:28,416 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator 52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-03-23 16:02:28,444 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean 416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-03-23 16:02:28,613 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-23 16:02:30,427 [main] INFO  o.a.e.c.DefaultActiviti5CompatibilityHandlerFactory 38 - Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.
2021-03-23 16:02:30,778 [main] INFO  o.a.engine.impl.ProcessEngineImpl 87 - ProcessEngine default created
2021-03-23 16:02:30,781 [main] INFO  o.a.e.i.a.DefaultAsyncJobExecutor 169 - Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor].
2021-03-23 16:02:30,783 [Thread-6] INFO  o.a.e.i.a.ResetExpiredJobsRunnable 51 - {} starting to reset expired jobs
2021-03-23 16:02:30,782 [Thread-4] INFO  o.a.e.i.a.AcquireAsyncJobsDueRunnable 45 - {} starting to acquire async jobs due
2021-03-23 16:02:30,783 [Thread-5] INFO  o.a.e.i.a.AcquireTimerJobsRunnable 49 - {} starting to acquire async jobs due
2021-03-23 16:02:31,085 [main] WARN  o.m.spring.SqlSessionFactoryBean 44 - Property 'mapperLocations' was specified but matching resources are not found.
2021-03-23 16:02:31,469 [main] WARN  c.n.c.sources.URLConfigurationSource 121 - No URLs will be polled as dynamic configuration sources.
2021-03-23 16:02:31,470 [main] INFO  c.n.c.sources.URLConfigurationSource 122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-03-23 16:02:31,481 [main] WARN  c.n.c.sources.URLConfigurationSource 121 - No URLs will be polled as dynamic configuration sources.
2021-03-23 16:02:31,482 [main] INFO  c.n.c.sources.URLConfigurationSource 122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-03-23 16:02:31,636 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration 220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-03-23 16:02:32,515 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration 106 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-03-23 16:02:35,839 [main] INFO  o.s.cloud.commons.util.InetUtils 170 - Cannot determine local hostname
2021-03-23 16:02:38,852 [main] INFO  o.s.cloud.commons.util.InetUtils 170 - Cannot determine local hostname
2021-03-23 16:02:39,090 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger 84 - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it to the classpath.
2021-03-23 16:02:39,203 [main] INFO  c.l.a.a.s.i.ActiDemoServiceImplTest 61 - Started ActiDemoServiceImplTest in 29.049 seconds (JVM running for 33.485)
